"sample" "TCGA-HU-A4GP-11" "TCGA-FP-7735-11" "TCGA-FP-7829-11" "TCGA-IN-8462-11" "TCGA-HU-A4GY-11" "TCGA-IN-7806-11" "TCGA-BR-6852-11" "TCGA-BR-7704-11" "TCGA-HU-8238-11" "TCGA-BR-6454-11"
"KLRA1" "1.9464269762" "0.1780269762" "-0.2335730238" "-1.0680730238" "1.0240269762" "-1.9334730238" "-1.0181730238" "-0.4707730238" "-1.8067730238" "-1.2673730238"
"CAMKV" "0.653696043699" "-1.2504039563" "0.0868960436988" "-1.1745039563" "0.937196043699" "-2.2241039563" "-2.2241039563" "1.6055960437" "-2.2241039563" "-0.650003956301"
"SPPL3" "0.425091221225" "-0.164508778775" "0.0758912212251" "1.32229122123" "0.250691221225" "1.05729122123" "-0.445408778775" "-0.0549087787749" "0.0653912212251" "-0.324108778775"
"GOLIM4" "0.503348958252" "0.229348958252" "0.637548958252" "-1.51575104175" "0.542548958252" "-1.44585104175" "0.226848958252" "1.10904895825" "2.07464895825" "0.065248958252"
"ZNF646" "-0.413701911822" "-0.300301911822" "0.168898088178" "-0.293501911822" "-0.347401911822" "0.692898088178" "-0.262901911822" "0.256198088178" "-0.374401911822" "0.518998088178"
"OPA3" "0.447374389387" "0.372574389387" "-0.224425610613" "0.617174389387" "0.427274389387" "0.170974389387" "-0.329125610613" "0.0334743893875" "-0.0413256106125" "0.109874389387"
"OPA1" "0.765757932111" "0.332157932111" "0.425757932111" "0.400757932111" "0.849057932111" "-0.548742067889" "-0.573142067889" "-0.238142067889" "0.265057932111" "-0.495242067889"
"RHEB" "0.366496863051" "-0.0635031369489" "-0.726103136949" "-0.962703136949" "0.417196863051" "-1.12100313695" "-0.751403136949" "-0.603103136949" "-1.34840313695" "-0.964203136949"
"RAB40C" "-0.517790339446" "-0.577790339446" "-0.369690339446" "0.215109660554" "-0.976490339446" "1.40290966055" "0.491209660554" "0.275109660554" "1.03110966055" "0.910309660554"
"RAB40B" "0.168517729224" "0.175417729224" "0.240717729224" "0.124717729224" "0.305117729224" "-0.275582270776" "0.204717729224" "0.553917729224" "0.0630177292236" "0.341817729224"
"RAB40A" "0.0649408427624" "-0.533259157238" "0.440240842762" "2.03614084276" "-0.590159157238" "4.17834084276" "-0.656559157238" "-0.351759157238" "-2.26165915724" "-0.950159157238"
"COL7A1" "-2.71874808428" "-4.06134808428" "-1.56484808428" "2.40425191572" "-3.29634808428" "1.71925191572" "-3.77304808428" "-0.951548084276" "-3.93424808428" "-2.18314808428"
"MDP1" "-0.331456129536" "-0.0672561295358" "-0.589756129536" "-0.747356129536" "0.0793438704642" "-1.40115612954" "-0.163956129536" "-0.768856129536" "-1.13715612954" "-0.744856129536"
"GTSE1" "-5.04211168943" "-5.20671168943" "-3.11891168943" "-0.208211689426" "-4.00581168943" "0.188788310574" "1.35728831057" "-1.99121168943" "-0.475411689426" "-0.337711689426"
"FAM183A" "-2.19315467031" "-2.19315467031" "-2.19315467031" "-0.00195467030823" "-2.19315467031" "-1.25605467031" "-1.43475467031" "-2.19315467031" "-1.64195467031" "-1.46265467031"
"ARFRP1" "-0.510261373391" "0.129538626609" "-0.373261373391" "-1.05296137339" "-0.364961373391" "-0.336761373391" "-0.519861373391" "-0.288461373391" "0.0855386266094" "-0.522561373391"
"OVCH1" "0.904062817011" "-0.615837182989" "0.884262817011" "-0.175737182989" "0.0722628170113" "-0.615837182989" "-0.615837182989" "0.870862817011" "-0.615837182989" "0.114662817011"
"FAM183B" "-0.520486749902" "-0.978486749902" "-0.594686749902" "-0.538386749902" "-0.978486749902" "-0.978486749902" "-0.978486749902" "-0.599486749902" "-0.978486749902" "-0.978486749902"
"PSAP" "-0.709403932891" "-0.133103932891" "-0.329903932891" "-1.06760393289" "-0.528203932891" "-1.08730393289" "-0.273703932891" "-0.0941039328911" "-0.0668039328911" "-0.0980039328911"
"KIAA0831" "0.734126297308" "-0.143173702692" "0.661426297308" "-0.142273702692" "0.334226297308" "0.240226297308" "-1.20517370269" "-0.185073702692" "-0.696373702692" "-1.05447370269"
"SPPL2A" "0.119204986344" "-0.530895013656" "0.291104986344" "0.183604986344" "0.572604986344" "-0.659395013656" "0.533804986344" "0.0799049863441" "2.57810498634" "0.118904986344"
"SLC46A1" "-0.108304276239" "-0.499104276239" "0.0767957237612" "-2.27450427624" "-0.185704276239" "-2.85900427624" "-1.19110427624" "0.257895723761" "4.28149572376" "-0.558604276239"
"TGFBR2" "1.64872492392" "1.20822492392" "2.11412492392" "-0.786975076083" "2.35162492392" "-0.418375076083" "1.05882492392" "1.75782492392" "0.290024923917" "1.29452492392"
"ITGA8" "3.09673296918" "4.27143296918" "8.93363296918" "2.55613296918" "2.72973296918" "2.99783296918" "3.87613296918" "6.85323296918" "1.71063296918" "4.39363296918"
"ITGA9" "3.17928059306" "3.95678059306" "4.44978059306" "0.933480593055" "3.36808059306" "1.05738059306" "0.809480593055" "3.92528059306" "-0.363719406945" "2.52698059306"
"STK40" "1.34501829887" "2.01771829887" "1.48071829887" "1.23261829887" "1.59511829887" "1.12601829887" "0.339118298869" "1.11601829887" "-0.401381701131" "1.30421829887"
"MYO3B" "-1.27710050722" "-3.27290050722" "-1.36870050722" "0.757099492782" "-1.77020050722" "-0.680600507218" "-1.11660050722" "-2.34590050722" "-2.32380050722" "-0.348400507218"
"ATP2A1" "-0.861400452595" "-2.18940045259" "-1.26110045259" "-0.993600452595" "-1.33900045259" "-1.26070045259" "-2.11880045259" "-2.41610045259" "-1.81620045259" "-1.25010045259"
