"Sample" "Sample1" "Sample2" "Sample3" "Sample4" "Sample5" "Sample6" "Sample7" "Sample8" "Sample9" "Sample10" "Sample11" "Sample12" "Sample13" "Sample14" "Sample15" "Sample16" "Sample17" "Sample18" "Sample19" "Sample20" "Sample21" "Sample22" "Sample23" "Sample24" "Sample25" "Sample26" "Sample27" "Sample28" "Sample29" "Sample30" "Sample31" "Sample32" "Sample33" "Sample34" "Sample35" "Sample36" "Sample37" "Sample38" "Sample39" "Sample40" "Sample41" "Sample42" "Sample43" "Sample44" "Sample45" "Sample46" "Sample47" "Sample48" "Sample49" "Sample50" "Sample51" "Sample52" "Sample53" "Sample54" "Sample55" "Sample56" "Sample57" "Sample58" "Sample59"
"C16orf13" "0.379910714007" "1.06561071401" "0.685310714007" "0.359510714007" "0.300810714007" "-0.00798928599301" "-0.279089285993" "1.64601071401" "-0.195889285993" "1.67231071401" "1.32781071401" "-0.610289285993" "1.09341071401" "-0.053689285993" "-0.184889285993" "0.734210714007" "0.324310714007" "0.00491071400699" "1.56031071401" "1.99151071401" "0.717510714007" "0.092110714007" "0.068010714007" "1.78001071401" "-0.377089285993" "1.33181071401" "1.06191071401" "0.319110714007" "1.39171071401" "0.932510714007" "0.247210714007" "-0.084889285993" "-0.346989285993" "-0.204489285993" "0.075310714007" "1.19311071401" "-0.126289285993" "-0.201589285993" "-1.04398928599" "0.295910714007" "-0.135489285993" "0.112510714007" "0.486010714007" "0.782210714007" "0.995710714007" "0.535510714007" "0.533910714007" "0.666110714007" "1.65161071401" "-0.092589285993" "0.924010714007" "-0.464489285993" "0.449210714007" "-0.101789285993" "-0.561589285993" "0.196410714007" "0.00101071400699" "0.261810714007" "0.510510714007"
"C16orf11" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172" "0.349515879828" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172" "1.32741587983" "-0.543084120172" "-0.543084120172" "1.00651587983" "-0.543084120172" "0.0156158798283" "-0.543084120172" "1.36641587983" "-0.543084120172" "-0.543084120172" "-0.201884120172" "-0.543084120172" "-0.543084120172" "-0.133684120172" "-0.543084120172" "-0.543084120172" "0.472415879828" "2.62511587983" "0.149415879828" "2.56921587983" "-0.543084120172" "-0.543084120172" "0.00641587982832" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172" "0.436515879828" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172" "0.135315879828" "0.0559158798283" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172" "0.696015879828" "-0.543084120172" "-0.543084120172" "0.470415879828"
"FGFR1OP2" "-0.162753827546" "0.105946172454" "-0.00115382754579" "-0.421753827546" "0.107546172454" "0.387746172454" "-0.0157538275458" "-0.459953827546" "-0.0364538275458" "-1.14415382755" "-1.40025382755" "0.0157461724542" "-1.09895382755" "-0.549553827546" "-0.393853827546" "-0.145653827546" "-0.597653827546" "-0.131753827546" "-0.537253827546" "-0.487653827546" "-0.192953827546" "-0.252653827546" "-0.156753827546" "-0.827653827546" "-0.201653827546" "-0.772353827546" "-0.145353827546" "0.285946172454" "-0.561753827546" "-0.100653827546" "-0.139953827546" "-0.343753827546" "-0.220353827546" "0.160746172454" "-0.367553827546" "0.105946172454" "-0.112753827546" "-0.147753827546" "0.904146172454" "0.248046172454" "0.142646172454" "-0.109253827546" "-0.497853827546" "-0.275253827546" "-0.0717538275458" "-0.616253827546" "-0.190053827546" "0.123646172454" "-1.19815382755" "0.244546172454" "-0.604453827546" "-0.0876538275458" "0.677446172454" "0.401046172454" "-0.0201538275458" "-0.264353827546" "0.328246172454" "-0.312253827546" "0.0804461724542"
"TSKS" "-0.579387155677" "0.912512844323" "-1.56558715568" "-1.56558715568" "0.270112844323" "-0.413087155677" "-0.257187155677" "-0.0825871556769" "-1.56558715568" "-0.750787155677" "0.356412844323" "0.00871284432305" "-0.0159871556769" "-1.19998715568" "-1.56558715568" "-1.56558715568" "-1.56558715568" "-0.812687155677" "0.457712844323" "-0.948787155677" "-0.409587155677" "-1.56558715568" "-1.15618715568" "-0.831687155677" "-0.216187155677" "-0.131187155677" "-0.344287155677" "0.463212844323" "2.18161284432" "-1.56558715568" "-1.56558715568" "-0.619087155677" "-1.01818715568" "-1.56558715568" "0.338012844323" "-1.56558715568" "-1.02668715568" "-0.540987155677" "-1.05368715568" "-1.56558715568" "-1.01198715568" "-0.585987155677" "-1.01238715568" "-1.56558715568" "-0.614187155677" "-0.584287155677" "-1.04608715568" "-1.56558715568" "-1.56558715568" "-0.966587155677" "0.0900128443231" "-1.56558715568" "-1.56558715568" "-1.56558715568" "-0.391587155677" "-0.326487155677" "-1.56558715568" "-1.56558715568" "0.625312844323"
"ATRX" "1.38619747171" "0.776897471713" "0.645797471713" "0.109397471713" "1.40429747171" "1.53709747171" "2.07509747171" "1.50449747171" "0.380097471713" "0.646097471713" "1.18879747171" "1.71129747171" "0.167997471713" "1.31849747171" "1.72249747171" "1.55749747171" "1.17559747171" "0.672497471713" "1.50289747171" "0.0789974717128" "2.08169747171" "-0.0692025282872" "0.973997471713" "0.910997471713" "1.32289747171" "2.00029747171" "1.87489747171" "1.63069747171" "2.26819747171" "-1.09030252829" "-0.396302528287" "0.575497471713" "0.275097471713" "-0.612202528287" "0.0294974717128" "-0.567402528287" "-0.277302528287" "-0.0926025282872" "0.0826974717128" "-1.27890252829" "0.620497471713" "-0.858702528287" "0.726697471713" "-1.75220252829" "0.0618974717128" "0.341697471713" "0.229397471713" "-0.654102528287" "-1.06340252829" "0.0638974717128" "-0.380202528287" "0.188497471713" "-0.649102528287" "-0.130402528287" "0.385497471713" "-0.446102528287" "0.0607974717128" "0.000897471712804" "0.433297471713"
"PMM2" "1.09244152165" "0.265441521654" "0.517041521654" "0.994441521654" "0.491441521654" "0.340641521654" "-0.823258478346" "0.730441521654" "1.66934152165" "1.37574152165" "0.362241521654" "0.324341521654" "0.737241521654" "0.242941521654" "0.878041521654" "1.29014152165" "1.11024152165" "0.909241521654" "0.407141521654" "1.39144152165" "0.458941521654" "0.977141521654" "0.675041521654" "0.578541521654" "0.469041521654" "0.411841521654" "0.701041521654" "0.116441521654" "0.640641521654" "1.42334152165" "0.694041521654" "1.10754152165" "0.995841521654" "1.10434152165" "0.537241521654" "1.36004152165" "0.838641521654" "0.834341521654" "0.106941521654" "0.987641521654" "0.965541521654" "0.754941521654" "1.10674152165" "1.09024152165" "1.38254152165" "1.07534152165" "1.04944152165" "1.30364152165" "1.88674152165" "1.39604152165" "1.34834152165" "0.802141521654" "1.00564152165" "0.953541521654" "-0.134458478346" "1.17654152165" "0.893641521654" "0.857141521654" "1.27164152165"
"LOC100272146" "-1.03914760047" "-0.180947600468" "1.25515239953" "-1.59694760047" "1.87595239953" "1.39115239953" "0.216152399532" "-0.205147600468" "0.232052399532" "1.61265239953" "1.09125239953" "0.947952399532" "1.27645239953" "0.157052399532" "-0.567447600468" "1.06275239953" "1.27135239953" "0.576652399532" "1.31915239953" "-1.05224760047" "0.473252399532" "-1.61864760047" "2.34595239953" "-0.688847600468" "1.42305239953" "0.774552399532" "1.37465239953" "0.640452399532" "2.52765239953" "0.938052399532" "0.371652399532" "0.806852399532" "0.768052399532" "-0.0685476004682" "0.724352399532" "1.57415239953" "2.15895239953" "0.640152399532" "1.44735239953" "-0.0105476004682" "0.251052399532" "1.14555239953" "1.46865239953" "-0.596147600468" "1.04365239953" "1.19255239953" "0.293952399532" "1.46505239953" "1.75725239953" "0.522252399532" "1.66905239953" "0.758452399532" "1.42895239953" "1.00205239953" "0.469052399532" "1.04715239953" "0.768952399532" "1.07215239953" "0.591752399532"
"ASS1" "0.357250955911" "3.06855095591" "2.00965095591" "3.36395095591" "-0.294049044089" "1.46325095591" "-0.474549044089" "0.501350955911" "1.54655095591" "0.816250955911" "1.93195095591" "-0.0850490440889" "0.410150955911" "1.01955095591" "0.788650955911" "1.51355095591" "1.10555095591" "3.04685095591" "0.862450955911" "3.02875095591" "-0.564249044089" "0.0895509559111" "1.73855095591" "-5.02594904409" "0.235050955911" "2.83105095591" "1.22005095591" "-0.551849044089" "1.49015095591" "2.89995095591" "1.57775095591" "2.01685095591" "2.16755095591" "1.48445095591" "1.07175095591" "3.41205095591" "0.851550955911" "0.663150955911" "1.17145095591" "0.359350955911" "2.29655095591" "-0.536149044089" "1.79915095591" "3.17665095591" "2.66225095591" "3.44515095591" "1.50895095591" "2.98055095591" "2.14745095591" "0.950650955911" "1.26915095591" "2.90045095591" "0.321450955911" "2.12775095591" "1.49535095591" "2.71775095591" "1.49855095591" "1.98905095591" "1.56975095591"
"NCBP1" "0.31239523215" "0.31509523215" "0.41799523215" "0.57399523215" "0.20079523215" "0.17769523215" "0.24069523215" "0.0976952321498" "0.90419523215" "-0.39670476785" "-0.41370476785" "0.18179523215" "0.25579523215" "0.57179523215" "-0.0569047678502" "-0.24130476785" "1.06849523215" "0.77369523215" "0.15539523215" "-0.0779047678502" "-0.53500476785" "0.56029523215" "-0.22360476785" "0.0640952321498" "-0.0169047678502" "-0.23650476785" "-0.25270476785" "0.41799523215" "0.10969523215" "0.96149523215" "0.80819523215" "0.85889523215" "0.64919523215" "1.20149523215" "1.02749523215" "0.90839523215" "0.91629523215" "0.78539523215" "1.04639523215" "0.35249523215" "0.82139523215" "0.17139523215" "0.78739523215" "1.23479523215" "0.83649523215" "0.11029523215" "0.97309523215" "0.90779523215" "0.39199523215" "0.73719523215" "0.82459523215" "1.02879523215" "1.58959523215" "1.11369523215" "0.13789523215" "1.02469523215" "0.91539523215" "0.57939523215" "0.96129523215"
"ZNF709" "-1.72206045259" "-0.725460452595" "0.115739547405" "-1.02066045259" "-0.567060452595" "0.0578395474054" "0.136739547405" "-0.0522604525946" "-3.32386045259" "-0.784260452595" "-0.857560452595" "0.461339547405" "-1.03086045259" "-0.295160452595" "-0.113360452595" "-1.53176045259" "-0.631860452595" "-0.964060452595" "-0.512960452595" "-0.266760452595" "-0.520760452595" "-0.371860452595" "0.874939547405" "-0.643760452595" "-0.156760452595" "0.325539547405" "-1.40366045259" "-0.414160452595" "0.959539547405" "0.419439547405" "-0.0787604525946" "-0.282360452595" "-0.248760452595" "-1.79456045259" "0.288039547405" "-0.588660452595" "-0.510760452595" "-1.14796045259" "-0.796560452595" "0.526739547405" "-2.37056045259" "-0.750160452595" "-1.07996045259" "-0.234260452595" "-1.56196045259" "-0.620060452595" "-0.408560452595" "-0.164860452595" "-0.277060452595" "-0.683660452595" "0.0886395474054" "-0.608660452595" "1.14883954741" "0.318239547405" "-0.309860452595" "-0.655460452595" "-0.508960452595" "-0.504360452595" "-0.309460452595"
